"game","title"
"http://dbpedia.org/resource/Firefly_Role-Playing_Game","Firefly Role-Playing Game"
"http://dbpedia.org/resource/GURPS_Conan","GURPS Conan"
"http://dbpedia.org/resource/HeroQuest","HeroQuest"
"http://dbpedia.org/resource/Hunter:_The_Reckoning","Hunter: The Reckoning"
"http://dbpedia.org/resource/Hybrid_(role-playing_game)","HYBRID"
"http://dbpedia.org/resource/Labyrinth_Lord","Labyrinth Lord"
"http://dbpedia.org/resource/Loren_Wiseman","Loren Wiseman"
"http://dbpedia.org/resource/Midgard_(role-playing_game)","Midgard"
"http://dbpedia.org/resource/Mille_Bornes","Mille Bornes"
"http://dbpedia.org/resource/Mind's_Eye_Theatre","Mind's Eye Theatre"
"http://dbpedia.org/resource/Monopoly:_The_Mega_Edition","Monopoly: The Mega Edition"
"http://dbpedia.org/resource/Monopoly_City","Monopoly City"
"http://dbpedia.org/resource/Mummy:_The_Resurrection","Mummy: The Resurrection"
"http://dbpedia.org/resource/Nephilim_(role-playing_game)","Nephilim"
"http://dbpedia.org/resource/Niagara_(board_game)","Niagara"
"http://dbpedia.org/resource/Red_Book_(C&S)","Chivalry & Sorcery"
"http://dbpedia.org/resource/Space_Opera_(role-playing_game)","Space Opera"
"http://dbpedia.org/resource/The_Game_of_Life","The Game of Life"
"http://dbpedia.org/resource/The_Morrow_Project","The Morrow Project"
"http://dbpedia.org/resource/Treehouse_(game)","Treehouse"
"http://dbpedia.org/resource/Universe_(role-playing_game)","Universe"
"http://dbpedia.org/resource/Vampire:_The_Dark_Ages","Vampire: The Dark Ages"
"http://dbpedia.org/resource/Vampire:_The_Masquerade","Vampire: The Masquerade"
"http://dbpedia.org/resource/Halma","Halma"
"http://dbpedia.org/resource/Middle-earth_Role_Playing","Middle-earth Role Playing"
"http://dbpedia.org/resource/Senet","Senet"
"http://dbpedia.org/resource/Axis_&_Allies:_Europe_1940","Axis & Allies: Europe 1940"
"http://dbpedia.org/resource/Axis_&_Allies:_Pacific_1940","Axis & Allies: Pacific 1940"
"http://dbpedia.org/resource/Castles_&_Crusades","Castles & Crusades"
"http://dbpedia.org/resource/Confrontation_(Rackham)","Confrontation"
"http://dbpedia.org/resource/Easy_Money_(board_game)","Easy Money"
"http://dbpedia.org/resource/Forbidden_Kingdoms","Forbidden Kingdoms"
"http://dbpedia.org/resource/Gary_Grigsby's_Pacific_War","Gary Grigsby's Pacific War"
"http://dbpedia.org/resource/Greyhawk:_The_Adventure_Begins","Greyhawk: The Adventure Begins"
"http://dbpedia.org/resource/Hyperborea_(game)","Hyperborea"
"http://dbpedia.org/resource/Machiavelli_(board_game)","Machiavelli"
"http://dbpedia.org/resource/Maelstrom_(role_playing_game)","Maelstrom"
"http://dbpedia.org/resource/Modern_Art_(game)","Modern Art"
"http://dbpedia.org/resource/Shadowrun:_The_Trading_Card_Game","''Shadowrun:"
"http://dbpedia.org/resource/Shadowrun:_The_Trading_Card_Game","The Trading Card Game''"
"http://dbpedia.org/resource/Starship_Troopers:_The_Roleplaying_Game","Starship Troopers"
"http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles_&_Other_Strangeness","Teenage Mutant Ninja Turtles"
"http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles_&_Other_Strangeness","Role-Playing Game"
"http://dbpedia.org/resource/The_Riddle_of_Steel","The Riddle of Steel"
"http://dbpedia.org/resource/When_Worlds_Collide_(role-playing_game)","When Worlds Collide"
"http://dbpedia.org/resource/Zendo_(game)","Zendo"
"http://dbpedia.org/resource/Ninja_Burger","Ninja Burger"
"http://dbpedia.org/resource/Card_football","Card Football"
"http://dbpedia.org/resource/D6_Adventure","D6 Adventure"
"http://dbpedia.org/resource/D6_Fantasy","D6 Fantasy"
"http://dbpedia.org/resource/D6_Space","D6 Space"
"http://dbpedia.org/resource/Finance_(game)","Finance"
"http://dbpedia.org/resource/Finance_(game)","Finance and Fortune"
"http://dbpedia.org/resource/Finance_(game)","The Fascinating Game of Finance"
"http://dbpedia.org/resource/Star_General","Star General"
"http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles_Adventures_(role-playing_game_supplement)","Teenage Mutant Turtles Adventures!"
"http://dbpedia.org/resource/The_World_of_Synnibarr","The World of Synnibarr"
"http://dbpedia.org/resource/Victorian_Age:_Vampire","Vampire: Victorian Age"
"http://dbpedia.org/resource/With_Great_Power...","With Great Power..."
"http://dbpedia.org/resource/Aeroplane_Chess","Aeroplane Chess"
"http://dbpedia.org/resource/BattleCards","BattleCards"
"http://dbpedia.org/resource/Battles_of_Napoleon","Battles of Napoleon"
"http://dbpedia.org/resource/Blood_Dawn","Blood Dawn"
"http://dbpedia.org/resource/Dark_Ages:_Werewolf","Dark Ages: Werewolf"
"http://dbpedia.org/resource/Die_Macher","Die Macher"
"http://dbpedia.org/resource/EABA","EABA"
"http://dbpedia.org/resource/GURPS_High-Tech","GURPS High-Tech"
"http://dbpedia.org/resource/Hollyworld","Hollyworld"
"http://dbpedia.org/resource/Monster_Mythology","Monster Mythology"
"http://dbpedia.org/resource/Races_of_Stone","Races of Stone"
"http://dbpedia.org/resource/Star_Legend","Star Legend"
"http://dbpedia.org/resource/Tales_from_the_Floating_Vagabond","Tales from the Floating Vagabond"
"http://dbpedia.org/resource/Warhammer_40,000_Roleplay","Dark Heresy"
"http://dbpedia.org/resource/Blue_Moon_City","Blue Moon City"
"http://dbpedia.org/resource/Book_of_Artifacts","Book of Artifacts"
"http://dbpedia.org/resource/Conquest_of_Pangea","Conquest of Pangea"
"http://dbpedia.org/resource/Lord_of_the_Rings_Adventure_Game","Lord of the Rings Adventure Game"
"http://dbpedia.org/resource/Pecking_Order_(game)","Pecking Order"
"http://dbpedia.org/resource/Puzz-ominos","Puzz-ominos"
"http://dbpedia.org/resource/Stadium_Checkers","Stadium Checkers"
"http://dbpedia.org/resource/The_Primal_Order","The Primal Order"
"http://dbpedia.org/resource/Vineta_(board_game)","Vineta"
"http://dbpedia.org/resource/Acquire","Acquire"
"http://dbpedia.org/resource/Amber_Diceless_Roleplaying_Game","Amber Diceless Roleplaying Game"
"http://dbpedia.org/resource/Backgammon","Backgammon"
"http://dbpedia.org/resource/Basic_Role-Playing","Basic Role-Playing (BRP)"
"http://dbpedia.org/resource/Bunnies_&_Burrows","Bunnies & Burrows"
"http://dbpedia.org/resource/Call_of_Cthulhu_(role-playing_game)","Call of Cthulhu"
"http://dbpedia.org/resource/Chess","Chess"
"http://dbpedia.org/resource/Chinese_checkers","Chinese Checkers"
"http://dbpedia.org/resource/Crokinole","Crokinole"
"http://dbpedia.org/resource/Dominoes","Dominoes"
"http://dbpedia.org/resource/Dungeons_&_Dragons","Dungeons & Dragons"
"http://dbpedia.org/resource/Earthdawn","Earthdawn"
"http://dbpedia.org/resource/Everway","Everway"
"http://dbpedia.org/resource/Forgotten_Futures","Forgotten Futures"
"http://dbpedia.org/resource/Fudge_(role-playing_game_system)","Fudge"
"http://dbpedia.org/resource/GURPS","GURPS"
"http://dbpedia.org/resource/GURPS_Supers","GURPS Supers"
"http://dbpedia.org/resource/Gamma_World","Gamma World"
"http://dbpedia.org/resource/Golden_Heroes","Golden Heroes"
"http://dbpedia.org/resource/Hero_System","Hero System"
"http://dbpedia.org/resource/Hero_Wars","Hero Wars"
"http://dbpedia.org/resource/Kult_(role-playing_game)","Kult"
"http://dbpedia.org/resource/Ludo_(board_game)","Ludo"
"http://dbpedia.org/resource/Mage:_The_Ascension","Mage: The Ascension"
"http://dbpedia.org/resource/Marvel_Super_Heroes_(role-playing_game)","Marvel Superheroes"
"http://dbpedia.org/resource/Monopoly_(game)","Monopoly"
"http://dbpedia.org/resource/Monopoly_(game)","Monopoly Here and Now: The World Edition"
"http://dbpedia.org/resource/Pente","Pente"
"http://dbpedia.org/resource/Reversi","Reversi"
"http://dbpedia.org/resource/Ringworld_(role-playing_game)","Ringworld"
"http://dbpedia.org/resource/RuneQuest","RuneQuest"
"http://dbpedia.org/resource/Scrabble","Scrabble"
"http://dbpedia.org/resource/Shogi","Shogi"
"http://dbpedia.org/resource/Star_Frontiers","Star Frontiers"
"http://dbpedia.org/resource/Albedo_(role-playing_game)","Albedo"
"http://dbpedia.org/resource/Barca_(board_game)","Barca"
"http://dbpedia.org/resource/Beer_pong","Beer pong"
"http://dbpedia.org/resource/CORPS","CORPS"
"http://dbpedia.org/resource/Catalyst_(role-playing_game_supplements)","Catalyst RPG Supplements"
"http://dbpedia.org/resource/Evo_(board_game)","Evo"
"http://dbpedia.org/resource/Fantasy_Interactive_Scenarios_by_Telephone","Fantasy Interactive Scenarios by Telephone"
"http://dbpedia.org/resource/Hanabi_(card_game)","Hanabi"
"http://dbpedia.org/resource/Launch_Pad_(card_game)","Launch Pad"
"http://dbpedia.org/resource/Legend_of_the_Five_Rings","Legend of the Five Rings"
"http://dbpedia.org/resource/Legend_of_the_Five_Rings_Roleplaying_Game","Legend of the Five Rings"
"http://dbpedia.org/resource/Lines_of_Action","Lines of Action"
"http://dbpedia.org/resource/Mutants_&_Masterminds","Mutants & Masterminds"
"http://dbpedia.org/resource/Nightmare_(Atmosfear_series)","Nightmare"
"http://dbpedia.org/resource/Orpheus_(role-playing_game)","Orpheus"
"http://dbpedia.org/resource/Scruples_(game)","Scruples"
